iso2c,port,total_in_port,total_ips,port_name,ssl,port_group,un_code,country_name,region,sub_region,iso3c,iso3n,imf,wb,continent
MD,1433,577,100117,mssql,FALSE,database,498,Republic of Moldova,Europe,Eastern Europe,MDA,498,921,MDA,Europe
ZM,1433,41,18158,mssql,FALSE,database,894,Zambia,Africa,Eastern Africa,ZMB,894,754,ZMB,Africa
BW,1433,66,6254,mssql,FALSE,database,72,Botswana,Africa,Southern Africa,BWA,72,616,BWA,Africa
PH,1433,1960,146294,mssql,FALSE,database,608,Philippines,Asia,South-Eastern Asia,PHL,608,566,PHL,Asia
LV,1433,887,103835,mssql,FALSE,database,428,Latvia,Europe,Northern Europe,LVA,428,941,LVA,Europe
AL,1433,119,21462,mssql,FALSE,database,8,Albania,Europe,Southern Europe,ALB,8,914,ALB,Europe
CI,1433,73,13455,mssql,FALSE,database,384,Cote d'Ivoire,Africa,Western Africa,CIV,384,662,CIV,Africa
PG,1433,9,2868,mssql,FALSE,database,598,Papua New Guinea,Oceania,Melanesia,PNG,598,853,PNG,Oceania
AF,1433,249,4772,mssql,FALSE,database,4,Afghanistan,Asia,Southern Asia,AFG,4,512,AFG,Asia
BO,1433,561,126542,mssql,FALSE,database,68,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,BOL,68,218,BOL,Americas
CW,1433,63,14340,mssql,FALSE,database,531,Curaçao,Latin America and the Caribbean,Caribbean,CUW,531,354,CUW,Americas
LS,1433,7,5573,mssql,FALSE,database,426,Lesotho,Africa,Southern Africa,LSO,426,666,LSO,Africa
GU,1433,13,18699,mssql,FALSE,database,316,Guam,Oceania,Micronesia,GUM,316,829,GUM,Oceania
SL,1433,3,423,mssql,FALSE,database,694,Sierra Leone,Africa,Western Africa,SLE,694,724,SLE,Africa
KY,1433,12,5156,mssql,FALSE,database,136,Cayman Islands,Latin America and the Caribbean,Caribbean,CYM,136,377,CYM,Americas
KN,1433,7,2903,mssql,FALSE,database,659,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,KNA,659,361,KNA,Americas
AW,1433,18,2457,mssql,FALSE,database,533,Aruba,Latin America and the Caribbean,Caribbean,ABW,533,314,ABW,Americas
FK,1433,4,1418,mssql,FALSE,database,238,Falkland Islands (Malvinas),Latin America and the Caribbean,South America,FLK,238,323,FLK,Americas
AI,3306,2,763,mysql,FALSE,database,660,Anguilla,Latin America and the Caribbean,Caribbean,AIA,660,312,AIA,Americas
JE,3306,8,4744,mysql,FALSE,database,832,Jersey,Europe,Northern Europe,JEY,832,NA,JEY,Europe
BI,465,13,715,smtp,TRUE,mail,108,Burundi,Africa,Eastern Africa,BDI,108,618,BDI,Africa
KM,53,2,225,dns,FALSE,dns,174,Comoros,Africa,Eastern Africa,COM,174,632,COM,Africa
GQ,990,2,699,ftps,TRUE,file-transfer,226,Equatorial Guinea,Africa,Middle Africa,GNQ,226,642,GNQ,Africa
SB,990,1,671,ftps,TRUE,file-transfer,90,Solomon Islands,Oceania,Melanesia,SLB,90,813,SLB,Oceania
SO,990,1,834,ftps,TRUE,file-transfer,706,Somalia,Africa,Eastern Africa,SOM,706,726,SOM,Africa
AI,995,4,763,pop3,TRUE,mail,660,Anguilla,Latin America and the Caribbean,Caribbean,AIA,660,312,AIA,Americas
CC,1433,1,123,mssql,FALSE,database,NA,NA,NA,NA,NA,NA,NA,NA,NA
GN,1433,3,906,mssql,FALSE,database,324,Guinea,Africa,Western Africa,GIN,324,656,GIN,Africa
KR,389,118885,5655032,ldap,FALSE,ldap,410,Republic of Korea,Asia,Eastern Asia,KOR,410,542,KOR,Asia
PT,389,1135,219575,ldap,FALSE,ldap,620,Portugal,Europe,Southern Europe,PRT,620,182,PRT,Europe
KY,389,22,5156,ldap,FALSE,ldap,136,Cayman Islands,Latin America and the Caribbean,Caribbean,CYM,136,377,CYM,Americas
AE,389,493,1344393,ldap,FALSE,ldap,784,United Arab Emirates,Asia,Western Asia,ARE,784,466,ARE,Asia
DZ,389,1425,40341,ldap,FALSE,ldap,12,Algeria,Africa,Northern Africa,DZA,12,612,DZA,Africa
MZ,389,603,7147,ldap,FALSE,ldap,508,Mozambique,Africa,Eastern Africa,MOZ,508,688,MOZ,Africa
IR,389,1392,2087137,ldap,FALSE,ldap,364,Iran (Islamic Republic of),Asia,Southern Asia,IRN,364,429,IRN,Asia
MK,389,355,31532,ldap,FALSE,ldap,807,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,MKD,807,962,MKD,Europe
PH,389,1676,146294,ldap,FALSE,ldap,608,Philippines,Asia,South-Eastern Asia,PHL,608,566,PHL,Asia
MW,389,15,3705,ldap,FALSE,ldap,454,Malawi,Africa,Eastern Africa,MWI,454,676,MWI,Africa
CW,389,79,14340,ldap,FALSE,ldap,531,Curaçao,Latin America and the Caribbean,Caribbean,CUW,531,354,CUW,Americas
GE,389,48,43664,ldap,FALSE,ldap,268,Georgia,Asia,Western Asia,GEO,268,915,GEO,Asia
GL,389,11,1087,ldap,FALSE,ldap,304,Greenland,Latin America and the Caribbean,Northern America,GRL,304,326,GRL,Americas
NC,389,14,13830,ldap,FALSE,ldap,540,New Caledonia,Oceania,Melanesia,NCL,540,839,NCL,Oceania
SM,389,8,2314,ldap,FALSE,ldap,674,San Marino,Europe,Southern Europe,SMR,674,135,SMR,Europe
DJ,389,10,562,ldap,FALSE,ldap,262,Djibouti,Africa,Eastern Africa,DJI,262,611,DJI,Africa
FK,389,4,1418,ldap,FALSE,ldap,238,Falkland Islands (Malvinas),Latin America and the Caribbean,South America,FLK,238,323,FLK,Americas
DM,465,5,1433,smtp,TRUE,mail,212,Dominica,Latin America and the Caribbean,Caribbean,DMA,212,321,DMA,Americas
ER,8081,1,272,web-alt,FALSE,web,232,Eritrea,Africa,Eastern Africa,ERI,232,643,ERI,Africa
AS,995,3,347,pop3,TRUE,mail,16,American Samoa,Oceania,Polynesia,ASM,16,859,ASM,Oceania
TO,1433,1,375,mssql,FALSE,database,776,Tonga,Oceania,Polynesia,TON,776,866,TON,Oceania
NU,1433,1,133,mssql,FALSE,database,570,Niue,Oceania,Polynesia,NIU,570,NA,NIU,Oceania
CX,995,1,122,pop3,TRUE,mail,NA,NA,NA,NA,NA,NA,NA,NA,NA
VA,389,2,256,ldap,FALSE,ldap,336,Holy See,Europe,Southern Europe,VAT,336,NA,VAT,Europe
PW,389,2,368,ldap,FALSE,ldap,585,Palau,Oceania,Micronesia,PLW,585,565,PLW,Oceania
CC,8080,1,123,web-alt,FALSE,web,NA,NA,NA,NA,NA,NA,NA,NA,NA
TV,990,1,168,ftps,TRUE,file-transfer,798,Tuvalu,Oceania,Polynesia,TUV,798,NA,TUV,Oceania
NR,990,1,191,ftps,TRUE,file-transfer,520,Nauru,Oceania,Micronesia,NRU,520,836,NRU,Oceania
SH,110,1,125,pop3,FALSE,mail,654,Saint Helena,Africa,Western Africa,SHN,654,856,SHN,Africa
NR,3306,1,191,mysql,FALSE,database,520,Nauru,Oceania,Micronesia,NRU,520,836,NRU,Oceania
LR,389,2,512,ldap,FALSE,ldap,430,Liberia,Africa,Western Africa,LBR,430,668,LBR,Africa
IO,389,1,237,ldap,FALSE,ldap,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,80,17505,329705,web,FALSE,web,360,Indonesia,Asia,South-Eastern Asia,IDN,360,536,IDN,Asia
SG,80,114878,602239,web,FALSE,web,702,Singapore,Asia,South-Eastern Asia,SGP,702,576,SGP,Asia
IQ,80,7746,52432,web,FALSE,web,368,Iraq,Asia,Western Asia,IRQ,368,433,IRQ,Asia
GB,80,719370,2970971,web,FALSE,web,826,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,GBR,826,112,GBR,Europe
SK,80,43962,130480,web,FALSE,web,703,Slovakia,Europe,Eastern Europe,SVK,703,936,SVK,Europe
PR,80,11054,66070,web,FALSE,web,630,Puerto Rico,Latin America and the Caribbean,Caribbean,PRI,630,NA,PRI,Americas
MN,80,2,8486,web,FALSE,web,496,Mongolia,Asia,Eastern Asia,MNG,496,948,MNG,Asia
CO,80,1373,1524809,web,FALSE,web,170,Colombia,Latin America and the Caribbean,South America,COL,170,233,COL,Americas
MH,80,77,1318,web,FALSE,web,584,Marshall Islands,Oceania,Micronesia,MHL,584,867,MHL,Oceania
VC,80,2904,5070,web,FALSE,web,670,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,VCT,670,364,VCT,Americas
AL,80,4609,21462,web,FALSE,web,8,Albania,Europe,Southern Europe,ALB,8,914,ALB,Europe
AX,80,3483,4771,web,FALSE,web,248,Åland Islands,Europe,Northern Europe,ALA,248,NA,ALA,Europe
SC,80,3761,7719,web,FALSE,web,690,Seychelles,Africa,Eastern Africa,SYC,690,718,SYC,Africa
SB,9100,1,671,jetdirect,FALSE,printer,90,Solomon Islands,Oceania,Melanesia,SLB,90,813,SLB,Oceania
GY,9100,1,2826,jetdirect,FALSE,printer,328,Guyana,Latin America and the Caribbean,South America,GUY,328,336,GUY,Americas
PH,111,2535,146294,rpc,FALSE,rpc,608,Philippines,Asia,South-Eastern Asia,PHL,608,566,PHL,Asia
TW,111,41436,2212144,rpc,FALSE,rpc,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,111,192912,2358135,rpc,FALSE,rpc,250,France,Europe,Western Europe,FRA,250,132,FRA,Europe
ES,111,48021,2059795,rpc,FALSE,rpc,724,Spain,Europe,Southern Europe,ESP,724,184,ESP,Europe
CY,111,906,27058,rpc,FALSE,rpc,196,Cyprus,Asia,Western Asia,CYP,196,423,CYP,Asia
SK,111,3490,130480,rpc,FALSE,rpc,703,Slovakia,Europe,Eastern Europe,SVK,703,936,SVK,Europe
IS,111,489,25169,rpc,FALSE,rpc,352,Iceland,Europe,Northern Europe,ISL,352,176,ISL,Europe
AO,111,157,14032,rpc,FALSE,rpc,24,Angola,Africa,Middle Africa,AGO,24,614,AGO,Africa
MF,111,13,284,rpc,FALSE,rpc,663,Saint Martin (French part),Latin America and the Caribbean,Caribbean,MAF,663,352,MAF,Americas
RW,111,58,3171,rpc,FALSE,rpc,646,Rwanda,Africa,Eastern Africa,RWA,646,714,RWA,Africa
PE,111,4369,146332,rpc,FALSE,rpc,604,Peru,Latin America and the Caribbean,South America,PER,604,293,PER,Americas
CR,111,21742,132639,rpc,FALSE,rpc,188,Costa Rica,Latin America and the Caribbean,Central America,CRI,188,238,CRI,Americas
KP,111,44,303,rpc,FALSE,rpc,408,Democratic People's Republic of Korea,Asia,Eastern Asia,PRK,408,NA,PRK,Asia
UG,111,151,5677,rpc,FALSE,rpc,800,Uganda,Africa,Eastern Africa,UGA,800,746,UGA,Africa
DJ,111,21,562,rpc,FALSE,rpc,262,Djibouti,Africa,Eastern Africa,DJI,262,611,DJI,Africa
NU,111,2,133,rpc,FALSE,rpc,570,Niue,Oceania,Polynesia,NIU,570,NA,NIU,Oceania
GQ,111,12,699,rpc,FALSE,rpc,226,Equatorial Guinea,Africa,Middle Africa,GNQ,226,642,GNQ,Africa
EG,139,7375,1095962,netbios,FALSE,microsoft,818,Egypt,Africa,Northern Africa,EGY,818,469,EGY,Africa
LV,139,4104,103835,netbios,FALSE,microsoft,428,Latvia,Europe,Northern Europe,LVA,428,941,LVA,Europe
AT,139,7606,365764,netbios,FALSE,microsoft,40,Austria,Europe,Western Europe,AUT,40,122,AUT,Europe
HU,139,9166,319720,netbios,FALSE,microsoft,348,Hungary,Europe,Eastern Europe,HUN,348,944,HUN,Europe
GM,139,59,1506,netbios,FALSE,microsoft,270,Gambia,Africa,Western Africa,GMB,270,648,GMB,Africa
QA,139,265,40574,netbios,FALSE,microsoft,634,Qatar,Asia,Western Asia,QAT,634,453,QAT,Asia
ET,139,96,1017,netbios,FALSE,microsoft,231,Ethiopia,Africa,Eastern Africa,ETH,231,644,ETH,Africa
NG,139,3393,65815,netbios,FALSE,microsoft,566,Nigeria,Africa,Western Africa,NGA,566,694,NGA,Africa
TZ,139,663,11518,netbios,FALSE,microsoft,834,United Republic of Tanzania,Africa,Eastern Africa,TZA,834,738,TZA,Africa
LY,139,1050,15429,netbios,FALSE,microsoft,434,Libya,Africa,Northern Africa,LBY,434,672,LBY,Africa
GH,139,801,11785,netbios,FALSE,microsoft,288,Ghana,Africa,Western Africa,GHA,288,652,GHA,Africa
MO,139,1443,34345,netbios,FALSE,microsoft,446,"China, Macao Special Administrative Region",Asia,Eastern Asia,MAC,446,546,MAC,Asia
ZW,139,97,10353,netbios,FALSE,microsoft,716,Zimbabwe,Africa,Eastern Africa,ZWE,716,698,ZWE,Africa
SM,139,17,2314,netbios,FALSE,microsoft,674,San Marino,Europe,Southern Europe,SMR,674,135,SMR,Europe
TD,139,7,384,netbios,FALSE,microsoft,148,Chad,Africa,Middle Africa,TCD,148,628,TCD,Africa
JP,143,614651,3159751,imap,FALSE,mail,392,Japan,Asia,Eastern Asia,JPN,392,158,JPN,Asia
MV,143,2108,7456,imap,FALSE,mail,462,Maldives,Asia,Southern Asia,MDV,462,556,MDV,Asia
VG,143,2522,11843,imap,FALSE,mail,92,British Virgin Islands,Latin America and the Caribbean,Caribbean,VGB,92,NA,VGB,Americas
CL,143,4733,217299,imap,FALSE,mail,152,Chile,Latin America and the Caribbean,South America,CHL,152,228,CHL,Americas
PE,143,5498,146332,imap,FALSE,mail,604,Peru,Latin America and the Caribbean,South America,PER,604,293,PER,Americas
BA,143,427,54817,imap,FALSE,mail,70,Bosnia and Herzegovina,Europe,Southern Europe,BIH,70,963,BIH,Europe
GT,143,498,277896,imap,FALSE,mail,320,Guatemala,Latin America and the Caribbean,Central America,GTM,320,258,GTM,Americas
UG,143,204,5677,imap,FALSE,mail,800,Uganda,Africa,Eastern Africa,UGA,800,746,UGA,Africa
NE,143,30,938,imap,FALSE,mail,562,Niger,Africa,Western Africa,NER,562,692,NER,Africa
MF,143,5,284,imap,FALSE,mail,663,Saint Martin (French part),Latin America and the Caribbean,Caribbean,MAF,663,352,MAF,Americas
SZ,143,32,1366,imap,FALSE,mail,748,Swaziland,Africa,Southern Africa,SWZ,748,734,SWZ,Africa
KN,21,1062,2903,ftp,FALSE,file-transfer,659,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,KNA,659,361,KNA,Americas
SY,21,2779,121688,ftp,FALSE,file-transfer,760,Syrian Arab Republic,Asia,Western Asia,SYR,760,463,SYR,Asia
CZ,21,98071,474110,ftp,FALSE,file-transfer,203,Czechia,Europe,Eastern Europe,CZE,203,935,CZE,Europe
LB,21,13413,77217,ftp,FALSE,file-transfer,422,Lebanon,Asia,Western Asia,LBN,422,446,LBN,Asia
EG,21,54191,1095962,ftp,FALSE,file-transfer,818,Egypt,Africa,Northern Africa,EGY,818,469,EGY,Africa
MP,21,192,724,ftp,FALSE,file-transfer,580,Northern Mariana Islands,Oceania,Micronesia,MNP,580,NA,MNP,Oceania
NG,21,4548,65815,ftp,FALSE,file-transfer,566,Nigeria,Africa,Western Africa,NGA,566,694,NGA,Africa
A1,21,336,8120,ftp,FALSE,file-transfer,NA,NA,NA,NA,NA,NA,NA,NA,NA
PM,21,14,282,ftp,FALSE,file-transfer,666,Saint Pierre and Miquelon,Latin America and the Caribbean,Northern America,SPM,666,363,SPM,Americas
NI,21,2389,21281,ftp,FALSE,file-transfer,558,Nicaragua,Latin America and the Caribbean,Central America,NIC,558,278,NIC,Americas
EC,21,142221,258707,ftp,FALSE,file-transfer,218,Ecuador,Latin America and the Caribbean,South America,ECU,218,248,ECU,Americas
HT,21,97,6761,ftp,FALSE,file-transfer,332,Haiti,Latin America and the Caribbean,Caribbean,HTI,332,263,HTI,Americas
IO,21,161,237,ftp,FALSE,file-transfer,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,22,58451,329705,ssh,TRUE,shell,360,Indonesia,Asia,South-Eastern Asia,IDN,360,536,IDN,Asia
TR,22,82113,1272877,ssh,TRUE,shell,792,Turkey,Asia,Western Asia,TUR,792,186,TUR,Asia
MD,22,10741,100117,ssh,TRUE,shell,498,Republic of Moldova,Europe,Eastern Europe,MDA,498,921,MDA,Europe
NP,22,4924,29262,ssh,TRUE,shell,524,Nepal,Asia,Southern Asia,NPL,524,558,NPL,Asia
MR,22,172,743,ssh,TRUE,shell,478,Mauritania,Africa,Western Africa,MRT,478,682,MRT,Africa
MU,22,2349,16806,ssh,TRUE,shell,480,Mauritius,Africa,Eastern Africa,MUS,480,684,MUS,Africa
MW,22,940,3705,ssh,TRUE,shell,454,Malawi,Africa,Eastern Africa,MWI,454,676,MWI,Africa
MN,22,2472,8486,ssh,TRUE,shell,496,Mongolia,Asia,Eastern Asia,MNG,496,948,MNG,Asia
ME,22,1060,22690,ssh,TRUE,shell,499,Montenegro,Europe,Southern Europe,MNE,499,943,MNE,Europe
DO,22,83242,332251,ssh,TRUE,shell,214,Dominican Republic,Latin America and the Caribbean,Caribbean,DOM,214,243,DOM,Americas
GD,22,1539,4281,ssh,TRUE,shell,308,Grenada,Latin America and the Caribbean,Caribbean,GRD,308,328,GRD,Americas
LC,22,907,2512,ssh,TRUE,shell,662,Saint Lucia,Latin America and the Caribbean,Caribbean,LCA,662,362,LCA,Americas
TC,22,110,1214,ssh,TRUE,shell,796,Turks and Caicos Islands,Latin America and the Caribbean,Caribbean,TCA,796,NA,TCA,Americas
BN,22,320,4192,ssh,TRUE,shell,96,Brunei Darussalam,Asia,South-Eastern Asia,BRN,96,516,BRN,Asia
AW,22,234,2457,ssh,TRUE,shell,533,Aruba,Latin America and the Caribbean,Caribbean,ABW,533,314,ABW,Americas
IT,23,192710,2337777,telnet,FALSE,shell,380,Italy,Europe,Southern Europe,ITA,380,136,ITA,Europe
PT,23,15026,219575,telnet,FALSE,shell,620,Portugal,Europe,Southern Europe,PRT,620,182,PRT,Europe
AT,23,23137,365764,telnet,FALSE,shell,40,Austria,Europe,Western Europe,AUT,40,122,AUT,Europe
GE,23,3147,43664,telnet,FALSE,shell,268,Georgia,Asia,Western Asia,GEO,268,915,GEO,Asia
TH,23,77905,1475645,telnet,FALSE,shell,764,Thailand,Asia,South-Eastern Asia,THA,764,578,THA,Asia
MD,23,19653,100117,telnet,FALSE,shell,498,Republic of Moldova,Europe,Eastern Europe,MDA,498,921,MDA,Europe
MG,23,2497,8192,telnet,FALSE,shell,450,Madagascar,Africa,Eastern Africa,MDG,450,674,MDG,Africa
GN,23,173,906,telnet,FALSE,shell,324,Guinea,Africa,Western Africa,GIN,324,656,GIN,Africa
MH,23,949,1318,telnet,FALSE,shell,584,Marshall Islands,Oceania,Micronesia,MHL,584,867,MHL,Oceania
CG,23,1693,32645,telnet,FALSE,shell,178,Congo,Africa,Middle Africa,COG,178,634,COG,Africa
MN,23,2362,8486,telnet,FALSE,shell,496,Mongolia,Asia,Eastern Asia,MNG,496,948,MNG,Asia
SM,23,529,2314,telnet,FALSE,shell,674,San Marino,Europe,Southern Europe,SMR,674,135,SMR,Europe
PA,23,10772,137097,telnet,FALSE,shell,591,Panama,Latin America and the Caribbean,Central America,PAN,591,283,PAN,Americas
PY,23,3696,16185,telnet,FALSE,shell,600,Paraguay,Latin America and the Caribbean,South America,PRY,600,288,PRY,Americas
AW,23,573,2457,telnet,FALSE,shell,533,Aruba,Latin America and the Caribbean,Caribbean,ABW,533,314,ABW,Americas
LR,23,54,512,telnet,FALSE,shell,430,Liberia,Africa,Western Africa,LBR,430,668,LBR,Africa
KM,23,24,225,telnet,FALSE,shell,174,Comoros,Africa,Eastern Africa,COM,174,632,COM,Africa
WF,23,64,637,telnet,FALSE,shell,876,Wallis and Futuna Islands,Oceania,Polynesia,WLF,876,NA,WLF,Oceania
JP,25,1162553,3159751,smtp,FALSE,mail,392,Japan,Asia,Eastern Asia,JPN,392,158,JPN,Asia
DK,25,27307,341639,smtp,FALSE,mail,208,Denmark,Europe,Northern Europe,DNK,208,128,DNK,Europe
ME,25,198,22690,smtp,FALSE,mail,499,Montenegro,Europe,Southern Europe,MNE,499,943,MNE,Europe
BY,25,4126,41920,smtp,FALSE,mail,112,Belarus,Europe,Eastern Europe,BLR,112,913,BLR,Europe
LR,25,137,512,smtp,FALSE,mail,430,Liberia,Africa,Western Africa,LBR,430,668,LBR,Africa
DZ,25,1824,40341,smtp,FALSE,mail,12,Algeria,Africa,Northern Africa,DZA,12,612,DZA,Africa
BR,25,170621,3673992,smtp,FALSE,mail,76,Brazil,Latin America and the Caribbean,South America,BRA,76,223,BRA,Americas
LY,25,231,15429,smtp,FALSE,mail,434,Libya,Africa,Northern Africa,LBY,434,672,LBY,Africa
GH,25,424,11785,smtp,FALSE,mail,288,Ghana,Africa,Western Africa,GHA,288,652,GHA,Africa
JM,25,367,25967,smtp,FALSE,mail,388,Jamaica,Latin America and the Caribbean,Caribbean,JAM,388,343,JAM,Americas
SN,25,202,7162,smtp,FALSE,mail,686,Senegal,Africa,Western Africa,SEN,686,722,SEN,Africa
CW,25,491,14340,smtp,FALSE,mail,531,Curaçao,Latin America and the Caribbean,Caribbean,CUW,531,354,CUW,Americas
HN,25,4124,28404,smtp,FALSE,mail,340,Honduras,Latin America and the Caribbean,Central America,HND,340,268,HND,Americas
SG,3306,46291,602239,mysql,FALSE,database,702,Singapore,Asia,South-Eastern Asia,SGP,702,576,SGP,Asia
CZ,3306,25107,474110,mysql,FALSE,database,203,Czechia,Europe,Eastern Europe,CZE,203,935,CZE,Europe
SE,3306,18194,685508,mysql,FALSE,database,752,Sweden,Europe,Northern Europe,SWE,752,144,SWE,Europe
BE,3306,265743,691567,mysql,FALSE,database,56,Belgium,Europe,Western Europe,BEL,56,124,BEL,Europe
DK,3306,9709,341639,mysql,FALSE,database,208,Denmark,Europe,Northern Europe,DNK,208,128,DNK,Europe
PT,3306,8196,219575,mysql,FALSE,database,620,Portugal,Europe,Southern Europe,PRT,620,182,PRT,Europe
CM,3306,105,7688,mysql,FALSE,database,120,Cameroon,Africa,Middle Africa,CMR,120,622,CMR,Africa
WS,3306,290,1317,mysql,FALSE,database,882,Samoa,Oceania,Polynesia,WSM,882,862,WSM,Oceania
PK,3306,3283,213305,mysql,FALSE,database,586,Pakistan,Asia,Southern Asia,PAK,586,564,PAK,Asia
EG,3306,846,1095962,mysql,FALSE,database,818,Egypt,Africa,Northern Africa,EGY,818,469,EGY,Africa
CI,3306,104,13455,mysql,FALSE,database,384,Cote d'Ivoire,Africa,Western Africa,CIV,384,662,CIV,Africa
LA,3306,83,5704,mysql,FALSE,database,418,Lao People's Democratic Republic,Asia,South-Eastern Asia,LAO,418,544,LAO,Asia
MK,3306,648,31532,mysql,FALSE,database,807,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,MKD,807,962,MKD,Europe
IM,3306,285,6513,mysql,FALSE,database,833,Isle of Man,Europe,Northern Europe,IMN,833,NA,IMY,Europe
SD,3306,60,5486,mysql,FALSE,database,729,Sudan,Africa,Northern Africa,SDN,736,732,SDN,Africa
SV,3306,275,300921,mysql,FALSE,database,222,El Salvador,Latin America and the Caribbean,Central America,SLV,222,253,SLV,Americas
HN,3306,1146,28404,mysql,FALSE,database,340,Honduras,Latin America and the Caribbean,Central America,HND,340,268,HND,Americas
PF,3306,1919,5497,mysql,FALSE,database,258,French Polynesia,Oceania,Polynesia,PYF,258,887,PYF,Oceania
CW,3306,92,14340,mysql,FALSE,database,531,Curaçao,Latin America and the Caribbean,Caribbean,CUW,531,354,CUW,Americas
AD,3306,13,4775,mysql,FALSE,database,20,Andorra,Europe,Southern Europe,AND,20,NA,ADO,Europe
CA,3389,135435,2003404,rdp,FALSE,gui-admin,124,Canada,Latin America and the Caribbean,Northern America,CAN,124,156,CAN,Americas
PK,3389,6773,213305,rdp,FALSE,gui-admin,586,Pakistan,Asia,Southern Asia,PAK,586,564,PAK,Asia
SN,3389,269,7162,rdp,FALSE,gui-admin,686,Senegal,Africa,Western Africa,SEN,686,722,SEN,Africa
OM,3389,722,315556,rdp,FALSE,gui-admin,512,Oman,Asia,Western Asia,OMN,512,449,OMN,Asia
TZ,3389,891,11518,rdp,FALSE,gui-admin,834,United Republic of Tanzania,Africa,Eastern Africa,TZA,834,738,TZA,Africa
WS,3389,307,1317,rdp,FALSE,gui-admin,882,Samoa,Oceania,Polynesia,WSM,882,862,WSM,Oceania
ME,3389,436,22690,rdp,FALSE,gui-admin,499,Montenegro,Europe,Southern Europe,MNE,499,943,MNE,Europe
JM,3389,687,25967,rdp,FALSE,gui-admin,388,Jamaica,Latin America and the Caribbean,Caribbean,JAM,388,343,JAM,Americas
AD,3389,419,4775,rdp,FALSE,gui-admin,20,Andorra,Europe,Southern Europe,AND,20,NA,ADO,Europe
MN,3389,736,8486,rdp,FALSE,gui-admin,496,Mongolia,Asia,Eastern Asia,MNG,496,948,MNG,Asia
VI,3389,178,3973,rdp,FALSE,gui-admin,850,United States Virgin Islands,Latin America and the Caribbean,Caribbean,VIR,850,NA,VIR,Americas
MR,3389,26,743,rdp,FALSE,gui-admin,478,Mauritania,Africa,Western Africa,MRT,478,682,MRT,Africa
FJ,443,866,4690,web,TRUE,web,242,Fiji,Oceania,Melanesia,FJI,242,819,FJI,Oceania
AE,443,32130,1344393,web,TRUE,web,784,United Arab Emirates,Asia,Western Asia,ARE,784,466,ARE,Asia
BJ,443,431,1549,web,TRUE,web,204,Benin,Africa,Western Africa,BEN,204,638,BEN,Africa
BR,443,695089,3673992,web,TRUE,web,76,Brazil,Latin America and the Caribbean,South America,BRA,76,223,BRA,Americas
BZ,443,5049,15786,web,TRUE,web,84,Belize,Latin America and the Caribbean,Central America,BLZ,84,339,BLZ,Americas
TK,443,127,133,web,TRUE,web,772,Tokelau,Oceania,Polynesia,TKL,772,NA,TKL,Oceania
CZ,443,144593,474110,web,TRUE,web,203,Czechia,Europe,Eastern Europe,CZE,203,935,CZE,Europe
KZ,443,157947,230749,web,TRUE,web,398,Kazakhstan,Asia,Central Asia,KAZ,398,916,KAZ,Asia
GE,443,8809,43664,web,TRUE,web,268,Georgia,Asia,Western Asia,GEO,268,915,GEO,Asia
SA,443,637453,1030561,web,TRUE,web,682,Saudi Arabia,Asia,Western Asia,SAU,682,456,SAU,Asia
BI,443,253,715,web,TRUE,web,108,Burundi,Africa,Eastern Africa,BDI,108,618,BDI,Africa
JE,443,2799,4744,web,TRUE,web,832,Jersey,Europe,Northern Europe,JEY,832,NA,JEY,Europe
TM,443,321,591,web,TRUE,web,795,Turkmenistan,Asia,Central Asia,TKM,795,925,TKM,Asia
KP,443,117,303,web,TRUE,web,408,Democratic People's Republic of Korea,Asia,Eastern Asia,PRK,408,NA,PRK,Asia
PH,465,2602,146294,smtp,TRUE,mail,608,Philippines,Asia,South-Eastern Asia,PHL,608,566,PHL,Asia
SE,465,16636,685508,smtp,TRUE,mail,752,Sweden,Europe,Northern Europe,SWE,752,144,SWE,Europe
CY,465,969,27058,smtp,TRUE,mail,196,Cyprus,Asia,Western Asia,CYP,196,423,CYP,Asia
BE,465,268675,691567,smtp,TRUE,mail,56,Belgium,Europe,Western Europe,BEL,56,124,BEL,Europe
DK,465,8741,341639,smtp,TRUE,mail,208,Denmark,Europe,Northern Europe,DNK,208,128,DNK,Europe
LY,465,154,15429,smtp,TRUE,mail,434,Libya,Africa,Northern Africa,LBY,434,672,LBY,Africa
EG,465,649,1095962,smtp,TRUE,mail,818,Egypt,Africa,Northern Africa,EGY,818,469,EGY,Africa
GE,465,601,43664,smtp,TRUE,mail,268,Georgia,Asia,Western Asia,GEO,268,915,GEO,Asia
ZM,465,73,18158,smtp,TRUE,mail,894,Zambia,Africa,Eastern Africa,ZMB,894,754,ZMB,Africa
MC,465,36,2810,smtp,TRUE,mail,492,Monaco,Europe,Western Europe,MCO,492,NA,MCO,Europe
