iso2c,port,total_in_port,total_ips,port_name,ssl,port_group,un_code,country_name,region,sub_region,iso3c,iso3n,imf,wb,continent
PR,21,4798,66070,ftp,FALSE,file-transfer,630,Puerto Rico,Latin America and the Caribbean,Caribbean,PRI,630,NA,PRI,Americas
ES,21,385316,2059795,ftp,FALSE,file-transfer,724,Spain,Europe,Southern Europe,ESP,724,184,ESP,Europe
BG,21,43187,357654,ftp,FALSE,file-transfer,100,Bulgaria,Europe,Eastern Europe,BGR,100,918,BGR,Europe
IS,21,8332,25169,ftp,FALSE,file-transfer,352,Iceland,Europe,Northern Europe,ISL,352,176,ISL,Europe
AX,21,3541,4771,ftp,FALSE,file-transfer,248,Åland Islands,Europe,Northern Europe,ALA,248,NA,ALA,Europe
LI,21,442,3884,ftp,FALSE,file-transfer,438,Liechtenstein,Europe,Western Europe,LIE,438,NA,LIE,Europe
MA,21,11381,100849,ftp,FALSE,file-transfer,504,Morocco,Africa,Northern Africa,MAR,504,686,MAR,Africa
GT,21,19298,277896,ftp,FALSE,file-transfer,320,Guatemala,Latin America and the Caribbean,Central America,GTM,320,258,GTM,Americas
GA,21,994,6645,ftp,FALSE,file-transfer,266,Gabon,Africa,Middle Africa,GAB,266,646,GAB,Africa
RE,21,708,27030,ftp,FALSE,file-transfer,638,Réunion,Africa,Eastern Africa,REU,638,696,REU,Africa
GN,21,145,906,ftp,FALSE,file-transfer,324,Guinea,Africa,Western Africa,GIN,324,656,GIN,Africa
RW,21,181,3171,ftp,FALSE,file-transfer,646,Rwanda,Africa,Eastern Africa,RWA,646,714,RWA,Africa
MX,21,57473,3430468,ftp,FALSE,file-transfer,484,Mexico,Latin America and the Caribbean,Central America,MEX,484,273,MEX,Americas
GQ,21,63,699,ftp,FALSE,file-transfer,226,Equatorial Guinea,Africa,Middle Africa,GNQ,226,642,GNQ,Africa
AW,21,197,2457,ftp,FALSE,file-transfer,533,Aruba,Latin America and the Caribbean,Caribbean,ABW,533,314,ABW,Americas
ER,21,47,272,ftp,FALSE,file-transfer,232,Eritrea,Africa,Eastern Africa,ERI,232,643,ERI,Africa
IQ,22,16104,52432,ssh,TRUE,shell,368,Iraq,Asia,Western Asia,IRQ,368,433,IRQ,Asia
AT,22,56012,365764,ssh,TRUE,shell,40,Austria,Europe,Western Europe,AUT,40,122,AUT,Europe
EE,22,19828,66660,ssh,TRUE,shell,233,Estonia,Europe,Northern Europe,EST,233,939,EST,Europe
KW,22,6345,454033,ssh,TRUE,shell,414,Kuwait,Asia,Western Asia,KWT,414,443,KWT,Asia
LV,22,22807,103835,ssh,TRUE,shell,428,Latvia,Europe,Northern Europe,LVA,428,941,LVA,Europe
TM,22,68,591,ssh,TRUE,shell,795,Turkmenistan,Asia,Central Asia,TKM,795,925,TKM,Asia
GR,22,19091,200333,ssh,TRUE,shell,300,Greece,Europe,Southern Europe,GRC,300,174,GRC,Europe
IS,22,9377,25169,ssh,TRUE,shell,352,Iceland,Europe,Northern Europe,ISL,352,176,ISL,Europe
RW,22,1457,3171,ssh,TRUE,shell,646,Rwanda,Africa,Eastern Africa,RWA,646,714,RWA,Africa
ZW,22,3209,10353,ssh,TRUE,shell,716,Zimbabwe,Africa,Eastern Africa,ZWE,716,698,ZWE,Africa
PA,22,16257,137097,ssh,TRUE,shell,591,Panama,Latin America and the Caribbean,Central America,PAN,591,283,PAN,Americas
BB,22,1637,5390,ssh,TRUE,shell,52,Barbados,Latin America and the Caribbean,Caribbean,BRB,52,316,BRB,Americas
VI,22,427,3973,ssh,TRUE,shell,850,United States Virgin Islands,Latin America and the Caribbean,Caribbean,VIR,850,NA,VIR,Americas
DM,22,449,1433,ssh,TRUE,shell,212,Dominica,Latin America and the Caribbean,Caribbean,DMA,212,321,DMA,Americas
PW,22,20,368,ssh,TRUE,shell,585,Palau,Oceania,Micronesia,PLW,585,565,PLW,Oceania
BO,22,31480,126542,ssh,TRUE,shell,68,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,BOL,68,218,BOL,Americas
BQ,22,3817,5441,ssh,TRUE,shell,535,"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,Caribbean,BES,535,NA,NA,Americas
GF,22,132,2281,ssh,TRUE,shell,254,French Guiana,Latin America and the Caribbean,South America,GUF,254,333,GUF,Americas
DJ,22,93,562,ssh,TRUE,shell,262,Djibouti,Africa,Eastern Africa,DJI,262,611,DJI,Africa
KM,22,50,225,ssh,TRUE,shell,174,Comoros,Africa,Eastern Africa,COM,174,632,COM,Africa
CK,22,59,382,ssh,TRUE,shell,184,Cook Islands,Oceania,Polynesia,COK,184,815,COK,Oceania
PR,23,22312,66070,telnet,FALSE,shell,630,Puerto Rico,Latin America and the Caribbean,Caribbean,PRI,630,NA,PRI,Americas
HK,23,197059,972180,telnet,FALSE,shell,344,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,HKG,344,532,HKG,Asia
NO,23,105816,383932,telnet,FALSE,shell,578,Norway,Europe,Northern Europe,NOR,578,142,NOR,Europe
RS,23,17609,106693,telnet,FALSE,shell,688,Serbia,Europe,Southern Europe,SRB,688,942,SRB,Europe
BA,23,21676,54817,telnet,FALSE,shell,70,Bosnia and Herzegovina,Europe,Southern Europe,BIH,70,963,BIH,Europe
AX,23,3544,4771,telnet,FALSE,shell,248,Åland Islands,Europe,Northern Europe,ALA,248,NA,ALA,Europe
IS,23,6227,25169,telnet,FALSE,shell,352,Iceland,Europe,Northern Europe,ISL,352,176,ISL,Europe
AM,23,3845,59069,telnet,FALSE,shell,51,Armenia,Asia,Western Asia,ARM,51,911,ARM,Asia
PE,23,23790,146332,telnet,FALSE,shell,604,Peru,Latin America and the Caribbean,South America,PER,604,293,PER,Americas
KG,23,1884,8565,telnet,FALSE,shell,417,Kyrgyzstan,Asia,Central Asia,KGZ,417,917,KGZ,Asia
GU,23,12901,18699,telnet,FALSE,shell,316,Guam,Oceania,Micronesia,GUM,316,829,GUM,Oceania
AD,23,220,4775,telnet,FALSE,shell,20,Andorra,Europe,Southern Europe,AND,20,NA,ADO,Europe
IM,23,465,6513,telnet,FALSE,shell,833,Isle of Man,Europe,Northern Europe,IMN,833,NA,IMY,Europe
CW,23,7720,14340,telnet,FALSE,shell,531,Curaçao,Latin America and the Caribbean,Caribbean,CUW,531,354,CUW,Americas
CR,23,39711,132639,telnet,FALSE,shell,188,Costa Rica,Latin America and the Caribbean,Central America,CRI,188,238,CRI,Americas
VA,23,4,256,telnet,FALSE,shell,336,Holy See,Europe,Southern Europe,VAT,336,NA,VAT,Europe
VG,25,2874,11843,smtp,FALSE,mail,92,British Virgin Islands,Latin America and the Caribbean,Caribbean,VGB,92,NA,VGB,Americas
AU,25,329947,1207909,smtp,FALSE,mail,36,Australia,Oceania,Australia and New Zealand,AUS,36,193,AUS,Oceania
MY,25,19503,226639,smtp,FALSE,mail,458,Malaysia,Asia,South-Eastern Asia,MYS,458,548,MYS,Asia
NA,25,1819,7895,smtp,FALSE,mail,516,Namibia,Africa,Southern Africa,NAM,516,728,NAM,Africa
NA,25,1819,7895,smtp,FALSE,mail,830,Channel Islands,Europe,Northern Europe,NA,NA,NA,NA,NA
NA,25,1819,7895,smtp,FALSE,mail,680,Sark,Europe,Northern Europe,NA,NA,NA,NA,NA
EC,25,4777,258707,smtp,FALSE,mail,218,Ecuador,Latin America and the Caribbean,South America,ECU,218,248,ECU,Americas
AP,25,264,12550,smtp,FALSE,mail,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO,25,1349,34345,smtp,FALSE,mail,446,"China, Macao Special Administrative Region",Asia,Eastern Asia,MAC,446,546,MAC,Asia
BF,25,97,1263,smtp,FALSE,mail,854,Burkina Faso,Africa,Western Africa,BFA,854,748,BFA,Africa
KP,25,66,303,smtp,FALSE,mail,408,Democratic People's Republic of Korea,Asia,Eastern Asia,PRK,408,NA,PRK,Asia
