cc,port,n
VI,8081,30
SZ,8081,5
KM,8081,4
LT,8443,3323
PL,8443,22708
ZA,8443,28226
MU,8443,481
GA,8443,719
MT,8443,311
IQ,8443,172
TT,8443,149
BZ,8443,37
KY,8443,87
TC,8443,6
KN,8443,12
NR,8443,2
RW,8443,34
NL,990,21992
DE,990,31970
A2,990,2778
FR,990,92630
YE,990,166
CG,990,612
PR,990,77
GT,990,45
MP,990,11
CF,990,2
BZ,990,4
HN,990,27
KP,990,3
LI,990,11
AI,990,2
CA,995,130005
PE,995,4924
VN,995,15780
UA,995,21723
TJ,995,2059
BS,995,224
BA,995,359
LY,995,154
QA,995,9035
SY,995,55
MC,995,29
HN,995,235
AP,995,28
DJ,995,9
SG,110,27875
HK,110,113620
KZ,110,2398
RS,110,2458
GI,110,2001
PR,110,691
IM,110,356
AD,110,94
KH,110,514
BW,110,507
PA,110,11548
PY,110,703
KP,110,21
BF,110,32
IN,135,99959
FI,135,4182
IT,135,16952
LT,135,2522
KZ,135,5184
BA,135,738
IQ,135,422
TN,135,1612
CO,135,11732
PW,135,15
UY,135,702
LI,135,45
DK,1723,24461
ES,1723,76905
RS,1723,6621
QA,1723,9639
RE,1723,470
NG,1723,2177
CD,1723,205
GG,1723,847
VU,1723,194
NU,1723,116
LC,1723,207
BF,1723,178
PM,1723,119
FK,1723,132
SH,22,1
VN,445,13887
IM,445,569
MR,445,38
A1,445,179
GQ,445,15
GF,445,29
CR,445,1435
NC,445,200
GW,445,9
MF,445,2
AU,5000,264076
SE,5000,15454
GI,5000,1992
IE,5000,4338
JO,5000,4100
MA,5000,3098
GA,5000,700
LY,5000,25
TO,5000,6
MP,5000,17
GG,5000,23
EC,5000,1277
PW,5000,2
ST,5000,2
AM,5900,115
LV,5900,1622
SK,5900,1675
AL,5900,63
IE,5900,1494
BM,5900,24
MK,5900,389
TN,5900,136
KH,5900,172
BW,5900,24
NP,5900,68
SH,5900,1
CD,5900,16
GQ,5900,9
TT,5900,108
VI,5900,52
MP,5900,21
BE,9100,266716
NL,9100,23398
BY,9100,187
ZA,9100,22862
TG,9100,2
GA,9100,404
WS,9100,284
LK,9100,168
A1,9100,98
NP,9100,7
PF,9100,1909
UY,9100,103
LI,9100,4
BZ,9100,13
BI,9100,4
CV,9100,2
VC,9100,16
KR,993,121473
ID,993,15565
DK,993,9522
DE,993,385128
BG,993,25386
LU,993,2369
MD,993,1035
MU,993,368
RW,993,26
MG,993,104
PA,993,6056
SV,993,247
SZ,993,21
ML,993,34
CW,993,124
ET,993,36
FO,993,25
MQ,993,35
GD,993,12
GL,993,8
MH,110,4
MH,135,7
AW,143,19
CF,23,15
GG,9100,1
SD,9100,4
FO,445,1
FK,8081,5
CC,9100,1
CK,9100,1
BQ,9100,2
TL,9100,1
MP,111,12
VA,139,1
DM,3306,4
BQ,990,4
SL,990,3
NF,5000,1
MY,8888,5937
RU,8888,44856
CZ,8888,13791
PK,8888,11883
PS,8888,306
DZ,8888,1468
BD,8888,5613
PT,8888,2696
AZ,8888,702
BH,8888,593
BN,8888,102
CI,8888,20
MP,8888,18
CU,8888,111
MF,8888,5
FK,8888,4
AX,8888,10
TO,139,1
SG,1433,7139
IN,1433,21615
AU,1433,188649
AR,1433,12562
MD,1433,577
ZM,1433,41
BW,1433,66
PH,1433,1960
LV,1433,887
AL,1433,119
CI,1433,73
PG,1433,9
AF,1433,249
BO,1433,561
CW,1433,63
LS,1433,7
GU,1433,13
SL,1433,3
KY,1433,12
KN,1433,7
AW,1433,18
FK,1433,4
AI,3306,2
JE,3306,8
BI,465,13
KM,53,2
GQ,990,2
SB,990,1
SO,990,1
AI,995,4
CC,1433,1
GN,1433,3
KR,389,118885
PT,389,1135
KY,389,22
AE,389,493
DZ,389,1425
MZ,389,603
IR,389,1392
MK,389,355
PH,389,1676
MW,389,15
CW,389,79
GE,389,48
GL,389,11
NC,389,14
SM,389,8
DJ,389,10
FK,389,4
DM,465,5
ER,8081,1
AS,995,3
TO,1433,1
NU,1433,1
CX,995,1
VA,389,2
PW,389,2
CC,8080,1
TV,990,1
NR,990,1
SH,110,1
NR,3306,1
LR,389,2
IO,389,1
ID,80,17505
SG,80,114878
IQ,80,7746
GB,80,719370
SK,80,43962
PR,80,11054
MN,80,2
CO,80,1373
MH,80,77
VC,80,2904
AL,80,4609
AX,80,3483
SC,80,3761
SB,9100,1
GY,9100,1
PH,111,2535
TW,111,41436
FR,111,192912
ES,111,48021
CY,111,906
SK,111,3490
IS,111,489
AO,111,157
MF,111,13
RW,111,58
PE,111,4369
CR,111,21742
KP,111,44
UG,111,151
DJ,111,21
NU,111,2
GQ,111,12
EG,139,7375
LV,139,4104
AT,139,7606
HU,139,9166
GM,139,59
QA,139,265
ET,139,96
NG,139,3393
TZ,139,663
LY,139,1050
GH,139,801
MO,139,1443
ZW,139,97
SM,139,17
TD,139,7
JP,143,614651
MV,143,2108
VG,143,2522
CL,143,4733
PE,143,5498
BA,143,427
GT,143,498
UG,143,204
NE,143,30
MF,143,5
SZ,143,32
KN,21,1062
SY,21,2779
CZ,21,98071
LB,21,13413
EG,21,54191
MP,21,192
NG,21,4548
A1,21,336
PM,21,14
NI,21,2389
EC,21,142221
HT,21,97
IO,21,161
ID,22,58451
TR,22,82113
MD,22,10741
NP,22,4924
MR,22,172
MU,22,2349
MW,22,940
MN,22,2472
ME,22,1060
DO,22,83242
GD,22,1539
LC,22,907
TC,22,110
BN,22,320
AW,22,234
IT,23,192710
PT,23,15026
AT,23,23137
GE,23,3147
TH,23,77905
MD,23,19653
MG,23,2497
GN,23,173
MH,23,949
CG,23,1693
MN,23,2362
SM,23,529
PA,23,10772
PY,23,3696
AW,23,573
LR,23,54
KM,23,24
WF,23,64
JP,25,1162553
DK,25,27307
ME,25,198
BY,25,4126
LR,25,137
DZ,25,1824
BR,25,170621
LY,25,231
GH,25,424
JM,25,367
SN,25,202
CW,25,491
HN,25,4124
SG,3306,46291
CZ,3306,25107
SE,3306,18194
BE,3306,265743
DK,3306,9709
PT,3306,8196
CM,3306,105
WS,3306,290
PK,3306,3283
EG,3306,846
CI,3306,104
LA,3306,83
MK,3306,648
IM,3306,285
SD,3306,60
SV,3306,275
HN,3306,1146
PF,3306,1919
CW,3306,92
AD,3306,13
CA,3389,135435
PK,3389,6773
SN,3389,269
OM,3389,722
TZ,3389,891
WS,3389,307
ME,3389,436
JM,3389,687
AD,3389,419
MN,3389,736
VI,3389,178
MR,3389,26
FJ,443,866
AE,443,32130
BJ,443,431
BR,443,695089
BZ,443,5049
TK,443,127
CZ,443,144593
KZ,443,157947
GE,443,8809
SA,443,637453
BI,443,253
JE,443,2799
TM,443,321
KP,443,117
PH,465,2602
SE,465,16636
CY,465,969
BE,465,268675
DK,465,8741
LY,465,154
EG,465,649
GE,465,601
ZM,465,73
MC,465,36
SV,465,393
UZ,465,256
BQ,465,3
BO,465,296
SD,465,37
TR,53,292214
A2,53,3267
MV,53,1447
AL,53,2652
GA,53,829
ZW,53,708
WS,53,728
AD,53,327
SC,53,350
BB,53,110
MR,53,63
CO,53,50621
SB,53,125
BT,53,63
ID,587,15665
CZ,587,18816
GE,587,656
BY,587,1075
GR,587,4199
EG,587,918
AZ,587,1232
MX,587,7248
CD,587,80
PA,587,2535
RW,587,31
MY,8080,36974
BD,8080,8292
RU,8080,256054
LV,8080,19233
LB,8080,2605
CY,8080,3292
LU,8080,3695
IQ,8080,859
VG,8080,453
JO,8080,2487
UG,8080,475
NI,8080,1310
CR,8080,10089
GM,8080,178
GT,8080,1982
CU,8080,324
CK,8080,31
PH,8081,3789
NZ,8081,360176
JO,8081,2305
UA,8081,7490
BY,8081,739
RO,8081,43277
LR,8081,2
CI,8081,1566
CM,8081,130
MT,8081,3042
KH,8081,882
MX,8081,11805
SL,8081,8
SV,8081,353
BM,8081,79
BJ,8081,35
MQ,8081,107
CW,8081,126
KP,8081,4
LC,8081,35
DE,8443,220318
LU,8443,1316
GR,8443,3653
NG,8443,1450
TH,8443,12705
MO,8443,1203
RE,8443,228
LV,8443,1232
AF,8443,217
MN,8443,84
DO,8443,70674
GT,8443,295
NI,8443,74
GG,8443,70
AX,8443,11
GY,8443,9
KP,8443,7
KR,990,118131
IN,990,7823
EG,990,329
MU,990,235
ST,990,1
RS,990,84
GH,990,106
AP,990,16
GP,990,6
SS,990,16
CK,990,2
NE,990,2
GB,995,206696
CZ,995,27013
EU,995,5176
NL,995,151748
GR,995,3677
BY,995,1614
AR,995,13518
LI,995,93
RW,995,32
TG,995,18
FO,995,14
GF,995,9
SX,995,8
SR,995,25
SB,995,7
MY,110,15398
TR,110,92602
SA,110,7879
EG,110,1697
QA,110,9070
MX,110,81762
GH,110,320
CG,110,912
NE,110,35
LA,110,96
BT,110,63
TC,110,8
PL,135,21584
BE,135,254699
HU,135,11288
PT,135,5379
HN,135,1059
MN,135,403
ET,135,112
NC,135,72
KY,135,39
GG,135,13
LA,135,108
SS,135,34
GU,135,59
BM,135,51
BQ,135,16
KM,135,7
GF,135,11
DM,143,4
ID,1723,50765
NZ,1723,25503
GR,1723,16776
JO,1723,2011
MG,1723,393
UG,1723,302
SR,1723,273
KW,1723,3350
JE,1723,823
KP,1723,115
GD,1723,190
NI,1723,857
UY,1723,2699
SO,1723,129
RW,1723,218
SY,1723,242
CX,1723,110
SX,1723,70
TW,445,146988
SE,445,12835
EU,445,833
GR,445,4413
ME,445,336
AR,445,100644
SX,445,34
SV,445,646
BN,445,30
EC,445,2161
BZ,445,165
GD,445,25
CA,5000,41593
PK,5000,3999
BB,5000,49
ET,5000,20
PF,5000,2022
SZ,5000,5
NI,5000,50
HN,5000,349
CW,5000,129
PG,5000,12
CK,587,12
US,5900,3242457
CZ,5900,10264
GA,5900,547
SC,5900,53
TO,5900,5
GT,5900,316
IQ,5900,141
BZ,5900,38
HT,5900,29
MN,5900,70
BT,5900,14
AG,8443,16
ST,8443,3
AO,9100,94
CI,9100,9
GP,9100,244
PS,9100,71
JO,9100,294
MQ,9100,214
AF,9100,303
CL,9100,23746
RE,9100,237
GF,9100,87
BB,9100,12
SS,9100,9
ME,9100,26
SC,9100,4
AP,9100,8
VN,993,15415
GI,993,2001
AT,993,11538
SI,993,4079
HR,993,2364
KZ,993,1636
PK,993,2302
ME,993,86
CO,993,5138
BR,993,39527
CM,993,50
SY,993,43
CG,993,2186
BN,993,88
PW,25,13
SD,5000,8
TV,5000,1
CD,5000,9
MF,5900,4
TC,5900,4
KP,5900,1
%,993,29
TL,135,1
CF,5000,1
TV,135,2
AS,21,7
CK,445,2
NR,5000,1
KI,5900,2
SO,143,5
PN,3306,1
MR,8081,9
AQ,8081,1
SA,8888,666176
ES,8888,40164
BG,8888,3290
AE,8888,2871
HR,8888,1245
A1,8888,128
GT,8888,767
GF,8888,85
UY,8888,416
JE,8888,4
HN,8888,104
PW,993,3
SL,995,6
MY,1433,4087
CH,1433,4046
BE,1433,274015
NZ,1433,1466
TH,1433,11158
SZ,1433,9
MZ,1433,555
GH,1433,198
HR,1433,995
BH,1433,165
KZ,1433,478
CV,1433,12
%,1433,38
NA,1433,41
CU,1433,233
SS,1433,17
NC,1433,13
NF,3306,1
MH,3306,1
CK,465,7
VU,465,12
FK,111,4
CX,139,1
NE,1433,2
ST,1433,5
HK,389,86543
SA,389,7912
RU,389,13553
FR,389,93682
HU,389,3096
EU,389,3671
ZA,389,19402
BW,389,31
PA,389,292
CR,389,302
TT,389,62
SN,389,53
GD,389,12
SR,389,20
LS,990,1
CC,995,1
TK,8081,1
TM,8888,5
KN,389,2
CF,8888,2
GM,990,1
NR,995,3
UA,80,131364
VG,80,2047
PT,80,50978
LT,80,55694
BR,80,17726
AP,80,5071
EG,80,9069
MT,80,3038
PE,80,166
CR,80,151
AW,80,74
CG,80,7
AI,80,159
QA,80,12224
GF,80,606
MQ,80,1907
DZ,80,1099
HK,111,107413
NZ,111,9343
UA,111,21192
CZ,111,22045
HU,111,10928
VU,111,20
BH,111,812
MT,111,569
VE,111,4014
SO,111,18
TM,111,11
PA,111,14545
PF,111,1993
SM,111,19
GY,111,28
BQ,111,7
BL,111,1
PH,139,13134
CH,139,8912
FR,139,137803
SE,139,12296
BA,139,550
BD,139,1939
AZ,139,1874
CO,139,17303
SY,139,147
GF,139,104
MN,139,295
CW,139,363
BH,139,81
NE,139,27
AD,139,112
CF,139,8
GD,139,22
GN,139,4
MS,139,2
SG,143,26874
CN,143,361059
NZ,143,13705
GB,143,260128
PL,143,282704
SK,143,4558
LT,143,21225
TZ,143,579
KE,143,2207
WS,143,304
MK,143,577
VE,143,3526
HT,143,28
JM,143,136
US,21,7823502
IT,21,227170
TR,21,148897
IE,21,33684
GI,21,2149
SK,21,19466
GD,21,1580
KH,21,10068
JE,21,219
DZ,21,3706
MG,21,2092
NP,21,10970
AF,21,632
GL,21,80
TM,21,31
CU,21,1043
SR,21,7263
BM,22,720
AG,22,3002
FJ,22,1918
KZ,22,12163
IR,22,70729
BF,22,354
LI,22,370
HR,22,10524
CL,22,36328
BY,22,7698
CM,22,1974
LA,22,1333
AF,22,848
TT,22,22752
UY,22,4010
GY,22,804
NG,23,7737
RO,23,54452
MT,23,1386
ET,23,291
MV,23,1540
GA,23,1087
TG,23,224
CD,23,510
VE,23,15888
KN,23,1111
GF,23,186
CK,23,72
SB,23,222
TW,25,643782
ID,25,39547
KE,25,2933
SK,25,11605
MU,25,795
CO,25,28712
SV,25,282780
CM,25,288
YE,25,164
BI,25,36
GY,25,22
CA,3306,111653
HK,3306,197045
RU,3306,154359
EE,3306,4662
FI,3306,4653
RS,3306,1546
TJ,3306,1832
ZM,3306,82
DZ,3306,1486
AZ,3306,913
MX,3306,11167
NP,3306,257
MR,3306,10
BI,3306,22
GD,3306,10
IL,3389,14528
CN,3389,1019021
MY,3389,21148
AU,3389,274427
HK,3389,157650
NL,3389,133921
CY,3389,1975
BM,3389,233
MW,3389,153
KY,3389,215
IM,3389,992
CL,3389,9414
GN,3389,17
BN,3389,226
ML,3389,68
SL,3389,18
DJ,3389,29
TW,443,390895
CN,443,1496961
GB,443,1317112
PH,443,39126
MH,443,157
TO,443,238
PR,443,12812
KY,443,2183
NU,443,125
HT,443,2286
ZA,443,122680
CH,443,233255
EE,443,21727
TG,443,679
SO,443,298
TD,443,141
UY,443,10181
LS,443,1371
GM,443,524
KM,443,136
CZ,465,27871
HU,465,9849
HR,465,2332
BY,465,1660
LV,465,4362
MK,465,424
MR,465,7
TT,465,44
MF,465,5
KY,465,27
UA,53,87718
NG,53,3233
IS,53,2546
UG,53,529
CY,53,2511
BA,53,11158
ME,53,540
NE,53,73
VG,53,3977
PE,53,13681
JE,53,84
ET,53,65
GH,53,1227
CR,53,3843
SM,53,450
CV,53,42
DO,53,84626
SR,53,397
TO,53,41
%,53,73
DJ,53,31
CN,587,331761
AU,587,237546
NZ,587,12439
ES,587,74497
RO,587,59756
AM,587,357
DK,587,10741
MG,587,81
VA,587,6
FJ,587,48
GP,587,28
DO,587,70611
AX,587,22
BZ,587,452
MF,587,3
NZ,8080,23157
IL,8080,19945
IS,8080,6121
SY,8080,13358
BY,8080,3202
EU,8080,10025
BS,8080,1677
PE,8080,69910
KH,8080,3050
ZA,8080,43094
NA,8080,444
TZ,8080,2101
BA,8080,2459
WS,8080,322
AF,8080,298
VI,8080,336
TT,8080,2231
%,8080,53
CV,8080,181
KI,8080,6
BL,8080,1
SS,8080,56
MM,8080,68
NU,8080,3
MS,8080,4
SG,8081,14854
HR,8081,2973
MD,8081,31535
GA,8081,720
ZW,8081,563
GH,8081,673
DO,8081,71594
CG,8081,9869
BT,8081,11
LS,8081,6
CD,8081,15
YE,8081,36
UG,8081,64
GB,8443,161023
SG,8443,15251
MD,8443,236
DZ,8443,1486
VG,8443,1547
RS,8443,1311
KW,8443,2324
PY,8443,251
MV,8443,286
LR,8443,23
LY,8443,94
TG,8443,20
AI,8443,5
GL,8443,17
LC,8443,15
MP,8443,13
TH,990,7123
JP,990,119078
GB,990,74204
IR,990,434
FI,990,521
MA,990,114
LB,990,373
AO,990,85
LY,990,27
CI,990,4
BM,990,13
RE,990,15
KG,990,9
KN,990,6
RU,995,91877
HR,995,2208
SK,995,4577
LT,995,11773
BE,995,263351
GE,995,668
AO,995,404
ZM,995,101
NI,995,244
CG,995,2849
CU,995,209
NC,995,102
KN,995,8
GN,995,11
IN,110,46244
RU,110,119521
DK,110,10445
TZ,110,574
MV,110,284
OM,110,258
IS,110,1505
AM,110,439
VG,110,2530
WS,110,314
IQ,110,189
CU,110,468
A1,110,264
ME,110,90
SO,110,8
AU,135,202306
CN,135,1075745
PK,135,11332
NL,135,49750
GB,135,116932
DK,135,7045
TM,135,45
MZ,135,277
KG,135,1009
BH,135,84
LB,135,26
MM,135,41
CL,135,3679
AR,135,9924
GT,135,1215
KP,135,14
YE,135,403
NA,135,139
SC,135,42
SO,135,28
PG,135,41
AG,135,53
MH,143,4
ET,143,33
FR,1723,207088
LU,1723,3492
TN,1723,810
GM,1723,147
A1,1723,4664
A2,1723,2987
AD,1723,328
BJ,1723,162
SN,1723,235
VA,1723,119
BT,1723,126
PA,1723,2318
AG,1723,178
SM,1723,286
AX,1723,105
ER,1723,124
GQ,1723,138
PF,1723,2055
WF,1723,6
PM,22,17
GB,445,123463
RU,445,196472
AT,445,8066
PL,445,34194
RO,445,11091
BA,445,810
BE,445,265242
FI,445,7641
NG,445,2491
AE,445,112973
BY,445,1189
LY,445,163
TT,445,5923
CD,445,62
LR,445,16
LB,445,28
MC,445,47
AX,445,39
GL,445,16
BF,445,9
DK,5000,12573
LU,5000,1145
BE,5000,280495
BY,5000,505
LV,5000,1062
GE,5000,175
NG,5000,1047
SN,5000,76
DZ,5000,1544
TN,5000,762
AZ,5000,909
VG,5000,19
BM,5000,38
%,5000,10
NR,587,2
IL,5900,3311
EE,5900,1014
NG,5900,1400
MU,5900,318
KE,5900,998
UZ,5900,46
UG,5900,80
JO,5900,441
GP,5900,49
CO,5900,5876
LA,5900,61
BN,5900,97
FJ,5900,49
NA,5900,62
CX,5900,2
GM,5900,3
YT,5900,4
CN,9100,328782
GR,9100,2237
EE,9100,413
BA,9100,116
IQ,9100,99
ZM,9100,30
VG,9100,9
LB,9100,339
SM,9100,18
SN,9100,2
HN,9100,47
TO,9100,2
CX,9100,1
IN,993,33768
PH,993,2441
IM,993,368
ZW,993,221
TN,993,207
MN,993,291
FJ,993,42
BS,993,240
BZ,993,497
GG,993,18
BO,993,353
JE,993,33
LA,993,57
AX,993,26
MF,993,6
GU,993,40
AP,993,41
TM,993,20
NR,993,2
GW,993,2
AW,993,10
SX,110,15
NE,5000,2
DM,5900,7
CF,8443,2
PG,9100,7
AQ,25,3
BL,443,9
VA,445,2
BQ,53,15
TV,5900,3
CF,5900,1
WF,5900,2
SO,9100,1
TV,143,2
FK,53,5
MS,9100,1
GW,9100,1
NR,111,2
AI,111,9
SB,139,8
TD,25,3
MF,3306,2
GY,465,8
TV,8443,2
VG,990,13
BT,990,1
SD,990,2
GD,990,2
GW,995,3
BI,995,17
MF,995,5
HK,8888,95500
PL,8888,14934
FI,8888,1218
SK,8888,2210
TN,8888,130
CD,8888,82
SC,8888,322
GP,8888,292
EE,8888,4426
KW,8888,317
SB,8888,2
PW,8888,6
VU,8888,8
MW,8888,17
GM,8888,13
BI,8888,6
AD,8888,21
AG,8888,10
IM,8888,265
KN,8888,5
VI,8888,19
PM,995,2
PN,139,1
PK,1433,2077
KE,1433,1015
GI,1433,160
LU,1433,150
DK,1433,5008
MU,1433,280
CM,1433,27
MK,1433,851
JM,1433,96
MN,1433,266
PE,1433,5187
TT,1433,51
DJ,1433,7
MH,1433,4
CV,3306,9
LR,465,8
DM,8443,3
MS,110,4
CC,139,1
YT,1433,2
IT,389,8688
BF,389,15
MV,389,210
WS,389,285
A1,389,89
BS,389,156
AR,389,7875
GT,389,284
GM,389,12
KH,389,98
SV,389,132
SD,389,25
MG,389,46
CV,389,9
MS,8888,1
ER,990,1
CX,990,1
SJ,111,1
VA,1433,1
CX,389,1
SJ,389,1
TM,389,4
NU,993,2
NF,111,1
AP,389,4
NF,993,1
PN,22,1
WF,3306,1
SJ,993,1
VA,135,1
TH,80,331049
MY,80,24469
HN,80,141
BB,80,1721
VI,80,441
GN,80,1
BJ,80,63
BL,9100,1
ID,111,10398
TR,111,34191
PT,111,2233
AE,111,667
AZ,111,1169
TJ,111,1948
AL,111,456
AR,111,11543
KW,111,231
MD,111,1230
%,111,43
GP,111,46
NI,111,152
BI,111,24
JP,139,121387
TW,139,60940
DK,139,8119
IR,139,11860
IT,139,87102
BE,139,258597
SK,139,3081
PT,139,4931
PS,139,810
RO,139,7648
AO,139,716
SZ,139,66
ZM,139,173
MZ,139,221
FM,139,87
SV,139,463
MM,139,59
AG,139,227
IE,143,8101
SV,143,313
MZ,143,771
NP,143,501
BH,143,79
CO,143,6309
UY,143,685
RW,143,30
AG,143,28
KM,143,3
DJ,143,11
IQ,21,4337
IR,21,126267
FI,21,35949
SI,21,10071
EE,21,20199
KW,21,15543
HR,21,9295
SD,21,917
BS,21,1165
TN,21,23903
BW,21,584
GH,21,1268
BF,21,180
CI,21,360
DM,21,420
KY,21,358
CN,22,1717366
HK,22,212543
IT,22,251781
PS,22,3129
BG,22,84626
AR,22,88984
GA,22,1529
TJ,22,3526
MA,22,10222
UG,22,1968
NG,22,7636
SC,22,1694
TN,22,19537
LY,22,1968
MC,22,525
CW,22,6975
ET,22,189
AP,22,353
CR,22,26154
HT,22,973
US,23,3175010
MY,23,29298
MP,23,275
PK,23,30432
IR,23,94925
PL,23,121080
AZ,23,4907
QA,23,11793
SV,23,8009
SG,23,43591
IQ,23,4895
EE,23,2665
UG,23,2006
CV,23,175
ME,23,1344
OM,23,2576
BB,23,1528
PG,23,682
RE,23,1421
NI,23,4313
UY,23,4773
TV,23,7
MF,23,22
SX,23,113
PM,23,14
TH,25,143382
IN,25,150899
PH,25,9875
NZ,25,26004
CH,25,93830
FR,25,440685
RS,25,5581
FI,25,14455
AM,25,778
EU,25,6927
AR,25,23650
NP,25,746
BB,25,293
IM,25,487
SY,25,140
MZ,25,568
PE,25,6881
AD,25,2199
GU,25,122
YT,25,17
ER,25,12
TO,25,69
SB,25,33
AG,3306,14
AU,3306,216080
GB,3306,247920
SA,3306,7991
SN,3306,53
RO,3306,43328
IE,3306,18894
MD,3306,1640
KZ,3306,1642
VG,3306,2754
BS,3306,245
KG,3306,182
CF,3306,2
VE,3306,2909
DO,3306,70681
GM,3306,43
CU,3306,146
MM,3306,33
SM,3306,37
TO,3306,26
AW,3306,15
US,3389,4044271
GB,3389,228824
SA,3389,15268
EU,3389,4569
MU,3389,1077
MZ,3389,1114
PG,3389,197
MQ,3389,530
GP,3389,624
GF,3389,167
VE,3389,12163
GM,3389,80
VU,3389,65
NC,3389,525
HN,3389,1240
NR,3389,11
MO,443,6745
BT,443,526
VC,443,395
SV,443,10928
PT,443,63524
EG,443,22137
CL,443,48628
CW,443,7331
PS,443,3895
CN,465,338515
VN,465,15043
NZ,465,12579
FR,465,217586
UA,465,19195
A1,465,2088
BR,465,31511
PG,465,176
MO,465,974
SR,465,31
YE,465,119
ET,465,24
AG,465,16
LC,465,11
GU,465,30
PM,465,1
PR,53,3174
KR,53,326388
LT,53,31338
GI,53,2022
AT,53,18914
IR,53,72044
MO,53,2439
TZ,53,1924
MA,53,15707
BM,53,152
LI,53,147
BJ,53,158
BF,53,120
MQ,53,69
LC,53,49
SA,587,8551
IT,587,27119
HU,587,9816
TJ,587,1539
IQ,587,259
MU,587,394
MZ,587,654
SN,587,47
QA,587,9147
WS,587,293
BF,587,34
TO,587,31
SR,587,60
GF,587,8
LC,8080,95
SG,8080,40385
VN,8080,75583
SA,8080,820966
DO,8080,86132
KY,8080,260
ET,8080,78
MC,8080,214
TG,8080,48
BJ,8080,380
LK,8080,1209
TD,8080,133
EC,8080,12039
VC,8080,96
CG,8080,1700
DJ,8080,19
MH,8080,40
TO,8080,48
TW,8081,29438
VN,8081,6419
SA,8081,857248
NO,8081,12799
NA,8081,283
NG,8081,22315
MU,8081,346
ZM,8081,45
GN,8081,41
AR,8081,16339
UZ,8081,2090
TZ,8081,441
PA,8081,745
BO,8081,387
FJ,8081,196
VC,8081,25
BF,8081,27
GG,8081,33
DM,8081,22
KN,8081,13
JP,8443,161529
NZ,8443,15722
IR,8443,6092
AE,8443,1657
PH,8443,2530
GH,8443,272
UZ,8443,155
MC,8443,68
NA,8443,115
FO,8443,30
VI,8443,49
DJ,8443,4
AD,8443,81
CC,8443,1
VN,990,654
PL,990,141248
GR,990,1022
MT,990,149
KE,990,759
HR,990,124
PK,990,710
SY,990,15
DO,990,70528
MN,990,26
KY,990,13
HT,990,7
GF,990,2
KI,990,2
ID,995,15492
IT,995,30053
AT,995,9059
LK,995,497
DZ,995,1500
TN,995,250
MA,995,981
NP,995,427
WS,995,303
A1,995,2025
MP,995,15
CY,995,741
CR,995,4334
NE,995,17
MG,995,97
NA,995,80
VA,995,2
HU,110,13527
FR,110,286935
CH,110,59054
PG,110,276
ZA,110,41666
LS,110,4694
MO,110,1118
CR,110,4954
MT,110,573
BA,110,505
VI,110,320
SY,110,111
CO,110,8053
FJ,110,96
SZ,110,125
JE,110,38
DM,110,8
ET,110,40
BJ,110,41
BI,110,19
VN,135,15981
NZ,135,3165
ES,135,46493
AM,135,7395
HR,135,1932
MO,135,1365
AF,135,485
MC,135,26
A1,135,130
SV,135,409
TT,135,139
JE,135,25
SZ,135,20
KN,135,20
%,143,41
CK,143,11
CA,1723,108539
AU,1723,284054
UA,1723,36174
IM,1723,1038
KZ,1723,3385
EE,1723,3790
GA,1723,841
ZW,1723,963
ZM,1723,345
ST,1723,140
ET,1723,156
TD,1723,125
OM,1723,1039
AF,1723,507
TV,1723,122
HN,1723,1512
BH,1723,719
MP,1723,25
BQ,1723,70
CC,3389,3
ZA,445,29594
JP,445,167617
ES,445,46839
IL,445,14003
NL,445,123444
JO,445,1116
SK,445,3245
TJ,445,2851
MG,445,175
AO,445,748
TN,445,1607
BR,445,95860
NA,445,114
LK,445,270
AD,445,108
SO,445,27
SR,445,2459
QA,445,12
BQ,445,13
SL,445,13
GY,445,13
US,5000,1188544
ZA,5000,23056
ID,5000,4333
DE,5000,73754
MD,5000,1087
PS,5000,217
RS,5000,1889
TJ,5000,2671
MK,5000,795
MZ,5000,618
GL,5000,13
KG,5000,60
CV,5000,12
VI,5000,26
CR,5000,1567
ER,587,4
VN,5900,3221
AT,5900,5818
IM,5900,293
EU,5900,3833
IN,5900,21193
CM,5900,29
OM,5900,186
CW,5900,90
JE,5900,36
CI,5900,34
GU,5900,47
%,5900,20
FO,5900,5
BQ,5900,10
SL,5900,5
BI,8080,48
VU,8443,12
MY,9100,2756
FR,9100,86725
RW,9100,9
PY,9100,51
SV,9100,21
AG,9100,8
GT,9100,93
GU,9100,23
BH,9100,22
JM,9100,20
KN,9100,2
SA,993,7199
GR,993,3956
BE,993,277284
MA,993,970
NP,993,438
CR,993,4354
LI,993,106
PE,993,4930
CD,993,101
MT,993,428
BM,993,29
UY,993,517
SC,993,314
CU,993,191
GH,993,201
VA,993,4
NU,110,2
KI,110,5
TD,135,7
TK,21,2
GW,8080,14
TL,8443,4
LS,9100,1
BL,1723,1
CF,445,5
MH,53,10
TK,5900,1
FM,5900,4
ST,9100,1
CF,993,4
TV,993,2
BL,110,1
WF,445,1
SH,445,1
BT,5000,1
LR,5000,1
IO,5900,1
DM,9100,2
MS,993,2
SB,111,7
AS,3306,8
AF,465,9
TD,8081,1
TK,995,1
CV,995,12
PH,8888,2420
SG,8888,6565
TW,8888,35906
FR,8888,102700
RE,8888,287
TJ,8888,2684
LK,8888,1745
LI,8888,18
