cc,port,n
MR,9100,3
CC,993,1
CK,135,2
PN,135,1
BL,135,1
SJ,445,1
TD,993,5
SJ,5000,1
SJ,5900,1
GW,5900,1
MH,9100,1
MH,993,4
KI,587,4
AS,8081,3
BW,990,7
SN,990,4
GN,990,2
NC,990,5
FJ,990,5
AF,995,9
SJ,135,1
NF,143,1
GW,21,3
GB,8888,82040
NL,8888,33297
GI,8888,1966
BY,8888,761
NG,8888,980
BJ,8888,13
LT,8888,1013
RW,8888,5
VC,8888,11
YE,8888,139
KY,8888,27
PA,8888,224
AP,8888,21
MM,8888,27
AQ,8888,1
TL,111,9
CA,1433,27022
DE,1433,19658
IL,1433,4674
QA,1433,387
EU,1433,502
BD,1433,559
IQ,1433,179
WS,1433,283
JO,1433,615
AE,1433,1005
IM,1433,258
ME,1433,109
VG,1433,308
NI,1433,168
SB,1433,2
GD,1433,5
TV,465,1
TK,8080,1
NU,990,1
CK,995,3
FO,139,1
CF,1433,2
SH,3306,1
CA,389,20263
TR,389,9837
CH,389,4552
AM,389,88
QA,389,9000
PS,389,100
UY,389,108
HT,389,35
MQ,389,29
VA,8888,1
GQ,8888,1
GL,111,2
MS,111,1
PW,143,3
PN,587,1
PM,587,2
NF,8081,1
MR,8888,4
SJ,8888,1
CX,993,1
TD,143,1
NR,1433,1
BL,389,1
TK,389,1
VA,465,3
CX,587,1
PN,5900,1
DM,8888,4
GW,8888,2
LR,8888,1
BL,8888,1
SS,993,1
CZ,80,143442
GE,80,16034
AT,80,107946
IR,80,1312311
IE,80,318401
JE,80,741
VE,80,29
MO,80,3788
ME,80,1438
TT,80,38
ZW,80,34
CW,80,2
TC,80,190
TZ,80,9
SX,80,176
BW,80,443
GL,80,72
US,111,4338529
AU,111,194176
LU,111,2459
AM,111,370
CL,111,3483
MY,111,6073
KZ,111,1632
LT,111,4830
IQ,111,188
RE,111,77
ML,111,43
ME,111,52
SV,111,285
NE,111,26
VI,111,43
BO,111,930
AD,111,33
HK,139,86396
SA,139,5003
JO,139,1020
TM,139,50
MW,139,30
BR,139,76152
MT,139,253
MC,139,37
TK,139,1
DJ,139,17
MH,139,6
SJ,139,1
KM,139,10
HK,143,171874
VN,143,18487
FR,143,284990
JE,143,44
AL,143,121
IM,143,387
BD,143,1766
KH,143,438
PA,143,6510
PF,143,1921
KG,143,188
VI,143,321
BN,143,102
RE,143,98
SR,143,52
FO,143,30
AG,21,1265
SA,21,12500
BA,21,14322
DK,21,44352
ME,21,564
AL,21,2605
CW,21,7340
LK,21,1992
BR,21,318238
KE,21,2721
MZ,21,2316
SZ,21,304
MW,21,695
LR,21,79
BN,21,471
DO,21,132129
CR,21,33212
MM,21,108
VE,21,10456
TT,21,27998
PR,22,12808
MY,22,27455
JP,22,622006
PH,22,24128
DK,22,47910
KE,22,6302
GE,22,8466
NA,22,1449
MG,22,2263
SS,22,180
BT,22,523
MM,22,562
PF,22,2136
CD,22,802
AU,23,256774
IN,23,435906
SA,23,22951
NL,23,56875
MA,23,20549
LV,23,9199
ML,23,1233
BD,23,15184
MR,23,255
SL,23,125
TN,23,29650
AR,23,75187
NC,23,6406
YT,23,82
AI,23,101
GY,23,829
CN,25,466881
BE,25,294878
PL,25,327081
LI,25,855
LU,25,6105
JO,25,791
LV,25,10132
BD,25,2590
NG,25,13637
CV,25,80
IQ,25,298
LK,25,109889
KN,25,71
VI,25,378
CF,25,8
MQ,25,137
NC,25,507
FM,25,35
SM,25,202
MH,25,8
GF,25,49
MP,25,30
SI,3306,2922
IR,3306,5081
ER,3306,3
BA,3306,456
IS,3306,1076
AQ,3306,3
AO,3306,141
KW,3306,200
ME,3306,70
BT,3306,70
BW,3306,46
FK,3306,4
NZ,3389,17922
PH,3389,7140
CH,3389,25313
HU,3389,17099
GI,3389,285
NO,3389,17995
MT,3389,958
MD,3389,3148
MV,3389,330
BB,3389,257
CG,3389,3426
NI,3389,475
MP,3389,49
SO,3389,42
PW,3389,16
TO,3389,30
IN,443,478006
LK,443,6102
NA,443,3183
ME,443,1780
FR,443,976459
GY,443,1285
NF,443,115
GD,443,479
PA,443,72651
SE,443,239131
DK,443,116142
MQ,443,842
LT,443,39095
GR,443,36915
ZW,443,4313
VI,443,2417
GN,443,275
AS,443,233
MF,443,112
SG,465,23039
PL,465,272931
NL,465,121875
BG,465,17752
KE,465,934
TH,465,15398
RE,465,54
OM,465,436
CR,465,880
BN,465,75
MW,465,21
VC,465,3
CH,53,34796
LB,53,3543
LK,53,720
KW,53,3924
GE,53,11436
BR,53,1125159
KE,53,2768
MG,53,930
GM,53,103
GP,53,64
NI,53,5031
SX,53,536
CU,53,823
GY,53,132
AS,53,12
HK,587,98632
MY,587,11268
LU,587,2437
GI,587,2026
EE,587,6110
IR,587,8832
GA,587,539
MV,587,271
PS,587,339
CL,587,3978
EC,587,2756
NA,587,104
MM,587,136
ML,587,27
GY,587,8
AW,587,19
GB,8080,284089
AT,8080,38894
KG,8080,407
MU,8080,1057
DZ,8080,1774
OM,8080,939
TL,8080,523
BZ,8080,8351
PF,8080,2278
MX,8080,1074255
CL,8080,34532
CF,8080,5
FM,8080,4
GQ,8080,21
ST,8080,7
MY,8081,5664
IT,8081,225151
GB,8081,589425
DK,8081,38671
IE,8081,203131
LY,8081,6036
AO,8081,1544
EG,8081,1119
BR,8081,198118
MC,8081,50
MN,8081,337
YT,8081,8
GU,8081,96
NI,8081,177
BI,8081,46
BM,8443,42
HK,8443,96659
AM,8443,161
IM,8443,347
MZ,8443,668
FK,8443,4
WS,8443,288
BA,8443,228
KG,8443,66
BH,8443,169
AR,8443,10410
NC,8443,218
PM,8443,7
JE,8443,63
ID,990,1618
BS,990,106
GA,990,613
LU,990,430
HU,990,2195
BR,990,11118
LV,990,429
MK,990,281
PE,990,3247
KH,990,27
TC,990,2
NA,990,7
SG,995,23642
SA,995,7121
IS,995,1311
ZA,995,37558
ZW,995,306
SZ,995,14
AL,995,98
OM,995,455
MT,995,354
PH,995,2391
KH,995,374
UZ,995,330
CO,995,5093
BH,995,95
BN,995,92
%,995,29
TH,110,24599
CN,110,454806
ES,110,89459
NO,110,11946
IR,110,9678
MN,110,363
AR,110,16987
ZW,110,406
ML,110,66
GM,110,41
SG,135,12961
SA,135,5601
PS,135,338
NP,135,570
KW,135,1423
EG,135,7457
LY,135,197
AO,135,728
GA,135,551
MA,135,559
DO,135,70971
BN,135,84
PF,135,1935
MT,135,314
SX,135,32
GW,135,10
KN,143,20
GL,143,7
CN,1723,680491
PR,1723,2647
FJ,1723,225
CI,1723,298
MA,1723,1296
KE,1723,2010
SC,1723,209
KG,1723,566
LY,1723,339
BM,1723,336
LR,1723,127
DM,1723,136
CL,1723,6940
VG,1723,304
VA,21,8
BL,22,5
TK,22,1
TO,23,12
NR,25,4
IO,25,2
KM,25,3
BD,445,2269
AU,445,202730
