country,found,total_allocated_ipv4s,web (443),web (80),dns (53),ssh (22),telnet (23),ftp (21),smtp (25),imap (143),pop3 (110),imap (993),mysql (3306),jetdirect (9100),ldap (389),mssql (1433),smb (445),netbios (137),netbios (139),upnp (5000),pop3 (995),pptp (1723),rdp (3389),rpc (111),smtp (465),smtp-sub (587),vnc (5900),web-alt (8080),web-alt (8081),ftps (990),web-alt (8443),web-alt (8888),dce (135)
France,"2,589,409","81,346,256","1,115,147 (1.4%)","1,547,191 (1.9%)","473,659","1,006,688 (1.2%)","354,322","573,970","576,099","387,022","428,795","358,973","328,941","161,256","170,186","166,450","193,308","157,923","215,071","228,434","397,014","275,228","289,672","286,654","317,763","328,748","175,200","420,438","230,503","167,319","235,566","118,292","231,335"
Qatar,"39,568","833,792","17,436 (2.1%)","17,512 (2.1%)","9,473 (1.1%)","10,958 (1.3%)","11,227 (1.3%)","9,551 (1.1%)","9,490 (1.1%)","9,020 (1.1%)","9,014 (1.1%)","8,448 (1.0%)","8,969 (1.1%)","8,760 (1.1%)","8,969 (1.1%)",161,87,1,7,"9,379 (1.1%)","8,979 (1.1%)","9,356 (1.1%)","9,639 (1.2%)",138,"9,031 (1.1%)","9,075 (1.1%)","8,971 (1.1%)","10,266 (1.2%)","24,327 (2.9%)","8,931 (1.1%)","9,252 (1.1%)","5,820",7
Liberia,"2,105","31,232",213,"1,882 (6.0%)",155,358 (1.1%),74,213,24,150,183,9,21,173,107,194,300,10,35,250,66,246,100,152,135,7,29,209,100,49,136,82,166
El Salvador,"286,604","656,640","5,565","6,137","2,360","4,023","6,760 (1.0%)","1,318","271,080 (41.3%)",295,338,231,"2,311",29,124,"2,184","2,704","2,052","2,471",113,223,"2,927","2,706","2,298",312,294,"2,221","8,179 (1.2%)",292,28,151,57,"2,437"
India,"2,445,357","41,411,584","554,336 (1.3%)","1,516,765 (3.7%)","260,059","342,365","293,049","309,979","228,908","119,518","105,446","122,997","115,252","100,586","101,036","108,213","92,875","50,221","79,974","125,470","117,867","132,634","168,778","90,800","91,654","105,316","112,710","210,138","110,172","100,190","126,223","81,185","100,200"
Rwanda,"3,966","345,600","1,031","2,641","1,237","1,953","2,308","1,231",151,47,50,54,"1,082","1,018","1,020","1,060","1,226","1,017","1,148","1,036","1,059","1,233","1,169","1,061","1,043",59,"1,025","1,269",104,"1,019","1,068",668,"1,098"
Grenada,"3,275","9,728",319 (3.3%),"1,594 (16.4%)",114 (1.2%),"1,403 (14.4%)","1,264 (13.0%)","1,426 (14.7%)",99 (1.0%),66,64,62,4,3,2,2,131 (1.3%),1,7,16,58,203 (2.1%),38,5,57,65,4,96,12,2,22,6,8
China,"8,800,498","338,182,144","1,911,474","4,488,388 (1.3%)","1,083,729","1,958,107","2,335,559","1,837,460","634,244","531,153","571,187","507,697","1,292,780","475,206","495,985","772,167","109,244","245,468","561,373","604,362","497,944","574,597","1,264,786","773,821","471,941","529,794","510,947","1,032,432","826,273","490,787","544,888","471,291","745,225"
Yemen,"15,958","134,144",872,"5,084 (3.8%)","1,589 (1.2%)","1,459 (1.1%)","1,933 (1.4%)","6,622 (4.9%)",204,236,201,109,183,170,229,238,399,134,296,219,232,"1,747 (1.3%)",516,211,84,80,215,497,31,166,207,130,146
Singapore,"679,132","6,723,072","305,315 (4.5%)","393,399 (5.9%)","31,989","231,041 (3.4%)","41,843","77,950 (1.2%)","61,325","46,693","47,755","25,181","51,618","4,210","6,208","7,738","15,903","2,340","11,524","10,832","24,640","18,505","45,454","15,087","25,512","25,743","5,015","55,675","18,830","2,728","20,552","5,134","25,911"
