country,found,total_allocated_ipv4s,web (443),web (80),dns (53),ssh (22),telnet (23),ftp (21),smtp (25),imap (143),pop3 (110),imap (993),mysql (3306),jetdirect (9100),ldap (389),mssql (1433),smb (445),netbios (137),netbios (139),upnp (5000),pop3 (995),pptp (1723),rdp (3389),rpc (111),smtp (465),smtp-sub (587),vnc (5900),web-alt (8080),web-alt (8081),ftps (990),web-alt (8443),web-alt (8888),dce (135)
Switzerland,456154,20365512,"243,909 (1.2%)","186,453","44,942","68,822","9,361","61,367","54,266","21,903","23,356","35,148","17,743","27,343","27,953","29,166","10,956","2,192","8,403","42,023","16,399","74,226","22,012","25,366","23,541","26,616","6,503","40,070","31,819","45,840","49,811","3,208","7,173"
Belarus,39908,1833216,"10,915","19,408 (1.1%)","4,207","7,767","2,837","7,764","4,258","2,036","2,263","1,699","2,013",172,274,337,"1,146",14,493,617,"1,733","4,455","5,585","1,551","2,028","1,233",264,"3,390",795,95,670,523,867
Japan,3296558,203276288,"1,280,192","2,003,206","456,633","584,522","277,386","888,630","987,435","476,488","690,516","409,125","255,037","108,682","110,010","79,712","171,095","77,964","127,559","117,713","522,497","285,468","169,203","161,287","278,946","583,668","122,248","391,473","134,698","108,283","156,838","83,474","178,305"
Italy,2929118,57309312,"1,998,729 (3.5%)","654,197 (1.1%)","125,392","277,894","187,083","230,713","154,926","117,503","116,912","36,393","36,932","6,744","7,581","7,591","40,210","3,058","35,010","17,549","32,407","64,773","53,351","19,846","33,715","31,593","13,475","122,434","397,591","6,121","36,462","9,276","15,346"
Paraguay,28958,1083648,"4,861","13,788 (1.3%)","2,310","3,993","3,256","1,702","1,269",633,693,594,654,51,93,243,525,18,235,526,599,871,"1,295",212,611,552,148,"10,371",913,43,345,461,306
Oman,533701,912384,"4,840","6,879",422,"3,312","2,390",765,"513,409 (56.3%)",282,298,443,209,161,189,226,741,161,463,"19,779 (2.2%)",457,"1,043",714,189,216,235,209,886,309,159,590,131,354
Finland,312191,13696704,"90,905","138,365 (1.0%)","16,372","80,123","28,154","39,920","18,623","16,816","10,603","15,212","9,701","5,068","9,898","11,074","12,233","2,137","10,889","9,687","8,674","13,137","15,038","6,686","9,932","7,883","14,862","25,239","38,671","3,870","8,615","2,544","4,009"
Djibouti,610,49664,258,402,32,149,271,50,21,8,7,5,13,2,6,10,152,1,29,4,5,130,35,14,5,5,4,18,3,2,5,1,26
Fiji,3253,142336,816,"1,716 (1.2%)",161,722,311,429,246,139,118,45,10,9,17,61,162,2,29,12,35,221,217,34,67,64,42,236,194,6,44,21,45
Myanmar,2895,129024,844,"1,447 (1.1%)",174,623,330,236,904,63,66,35,41,6,17,17,179,3,77,20,40,244,153,35,31,49,13,108,22,7,49,17,53
Kenya,89801,5425408,"7,555","78,429 (1.4%)","2,728","7,728","9,747","3,745","2,611","1,629","1,761","1,186","1,357",796,"1,115","1,249","1,254",226,"1,177",819,"1,354","2,111","3,174",913,864,"1,059",737,"4,938","1,097",523,"1,413",512,"1,356"
Nigeria,73252,2512384,"13,325","22,929","3,607","8,115","6,126","4,456","10,695",741,"1,328",425,"1,286",999,"2,047","2,294","3,098",178,"1,743","1,139",598,"2,963","2,604","1,417",393,"10,004","1,170","3,383","27,957 (1.1%)",960,"1,977",709,"1,965"
Burkina Faso,1447,96256,409,910,228,462,313,232,101,28,33,24,12,2,14,6,145,1,24,10,22,208,63,142,29,30,4,186,23,1,28,3,32
Seychelles,80072,7965696,"4,203","74,885","3,102","4,503",412,"4,865","3,810","3,038","3,079","3,030","3,085",11,99,26,400,1,294,62,"2,936","64,556",578,"1,312","2,883","2,370",65,"1,123",220,1,68,240,381
Uruguay,50853,2441216,"9,287","21,167","3,824","3,997","3,272","3,979","1,633",764,854,597,790,119,89,277,"1,561",19,717,"1,736",505,"2,727","3,236",261,500,467,600,"8,240","1,284",35,642,308,"1,212"
Sierra Leone,479,51200,78,333,70,114,93,103,37,31,32,10,8,4,5,10,136,2,15,6,11,166,24,5,5,6,4,19,12,3,9,9,53
Venezuela,521313,6796544,"43,457","49,511","10,998","16,144","13,426","13,955","405,574 (6.0%)","1,779","1,909","1,283","2,274","1,254","1,364","2,195","2,014",542,"1,432","2,874","1,225","6,375","11,752","2,492","1,227","1,186","1,777","20,545","4,337",672,"1,922","1,193","4,103"
Saudi Arabia,126927,8905984,"26,087","62,907","39,210","15,396","20,351","13,251","5,718","3,189","3,551","2,242","2,306","1,652","2,216","3,413","4,663","1,446","4,233","2,370","2,230","9,863","8,830","2,329","2,420","2,887","1,963","12,525","3,942","1,579","12,332","1,223","4,678"
Sudan,11754,1271040,"6,101","7,207",143,841,"6,285","1,910",177,63,78,55,82,7,26,59,448,1,207,17,43,249,216,62,41,40,18,193,23,4,78,24,268
Benin,1847,163328,324,"1,044",189,455,411,236,148,43,45,39,32,12,18,12,164,11,32,27,45,165,55,56,38,40,16,310,34,8,41,11,28
Uganda,8292,887040,"2,048","5,282",683,"2,613","1,708",723,486,221,270,213,174,56,105,105,379,45,204,96,228,324,461,299,163,167,73,652,106,44,246,52,174
Mauritius,18320,1869056,"4,659","11,523",924,"2,260","3,078",934,731,450,451,401,260,286,268,252,562,154,387,447,428,763,930,248,385,379,368,978,428,162,525,259,364
Morocco,150993,9900288,"17,538","50,348","50,428","10,746","20,230","12,493","1,844","1,057","1,202","1,004","1,073","9,205",331,380,862,37,968,"3,788",982,"1,270","2,552",602,"1,088","1,147",94,"5,363","9,242",115,944,"7,239",663
Ghana,13780,1134848,"3,388","4,540","2,258","2,794","1,607","1,368",337,170,199,126,184,59,128,138,"1,192",0,429,84,118,467,601,138,121,124,94,963,"1,076",6,254,61,703
Malawi,4511,418304,"2,009","1,590",444,"1,167","1,042",808,143,83,115,58,42,4,20,17,161,2,30,11,59,235,165,33,23,58,24,123,19,4,46,15,45
Zambia,9630,1096192,"3,263","3,855",873,"2,257","2,265","2,878",473,225,255,210,180,132,170,152,407,110,233,128,196,488,463,198,179,206,135,735,174,114,210,92,224
Belgium,259458,28502400,"116,522","111,681","11,812","36,889","10,703","42,504","30,134","11,466","13,210","10,179","10,580","4,118","2,728","2,470","5,392","1,027","3,459","20,334","8,549","33,064","22,929","8,983","9,309","7,482","5,131","28,908","7,814","2,291","16,250","4,100","4,106"
Gambia,1620,258560,372,887,98,460,398,226,61,41,43,13,45,3,15,24,172,1,43,6,12,158,63,24,7,24,2,187,37,1,40,8,44
Algeria,52060,4791040,"5,067","12,454","2,441","4,391","4,944","8,278","2,117","1,726","1,796","1,631","1,674","1,273","1,637","1,649","2,406",264,307,"2,262","1,645","2,249","2,119","1,696","1,766","1,743","1,610","2,286","28,293","1,197","1,828","1,146",441
Ethiopia,1514,361472,497,"1,088",91,336,386,64,111,56,59,43,55,22,57,66,259,12,121,24,43,181,159,56,42,32,39,114,41,24,64,30,118
Togo,1120,304128,331,555,165,482,258,115,52,26,31,20,34,1,10,12,160,1,22,7,19,146,25,36,11,17,4,41,38,1,22,3,23
